Timestamp,Distance (cm)
20250208164326,144.91
20250208164327,139.28
20250208164328,138.86
20250208164329,138.80
20250208164330,127.45
20250208164331,144.06
20250208164332,138.12
20250208164333,135.71
20250208164334,136.48
20250208164335,136.93
20250208164336,136.27
20250208164337,135.76
20250208164338,135.22
20250208164339,132.63
20250208164340,135.42
20250208164341,134.88
20250208164342,133.89
20250208164343,135.32
20250208164344,136.36
20250208164345,135.27
20250208164346,134.10
20250208164347,135.85
20250208164348,134.91
20250208164349,135.22
20250208164350,134.67
20250208164351,133.77
20250208164352,135.17
20250208164353,133.93
20250208164354,133.81
20250208164355,135.15
20250208164356,134.98
20250208164357,134.49
20250208164358,134.01
20250208164359,133.33
20250208164400,133.42
20250208164401,134.27
20250208164402,134.42
20250208164403,134.13
20250208164404,134.08
20250208164405,133.65
20250208164406,134.03
20250208164407,133.67
20250208164408,134.76
20250208164409,134.79
20250208164410,133.89
20250208164411,135.25
20250208164412,134.95
20250208164413,134.03
20250208164414,133.81
20250208164415,135.12
20250208164416,133.52
20250208164417,134.04
20250208164418,133.20
20250208164419,135.86
20250208164420,135.18
20250208164421,78.11
20250208164422,121.21
20250208164423,137.39
20250208164424,135.27
20250208164425,134.20
20250208164426,134.35
20250208164427,134.01
20250208164428,134.04
20250208164429,133.82
20250208164430,133.67
20250208164431,134.04
20250208164432,132.85
20250208164433,134.93
20250208164434,135.30
20250208164435,134.74
20250208164436,135.25
20250208164437,135.17
20250208164438,134.86
20250208164439,133.91
20250208164440,130.61
20250208164441,136.10
20250208164442,135.30
20250208164443,134.64
20250208164444,134.66
20250208164445,134.49
20250208164446,134.40
20250208164447,134.66
20250208164448,133.64
20250208164449,135.32
20250208164450,133.86
20250208164451,133.98
20250208164452,134.27
20250208164453,133.99
20250208164454,133.62
20250208164455,134.37
20250208164456,134.44
20250208164457,133.69
20250208164458,133.96
20250208164459,133.74
20250208164500,133.35
20250208164501,133.86
20250208164502,133.38
20250208164503,133.21
20250208164504,132.50
20250208164505,133.48
20250208164506,134.33
20250208164507,132.96
20250208164508,132.89
20250208164509,133.57
20250208164511,133.64
20250208164512,133.72
20250208164513,135.10
20250208164514,193.43
20250208164515,134.32
20250208164516,207.93
20250208164517,147.90
20250208164518,159.34
20250208164519,47.31
20250208164520,139.15
20250208164521,155.14
20250208164522,141.58
20250208164523,139.96
20250208164524,129.25
20250208164525,137.02
20250208164526,108.63
20250208164527,141.08
20250208164528,136.49
20250208164529,143.74
20250208164530,143.28
20250208164531,136.43
20250208164532,147.88
20250208164533,150.59
20250208164534,142.44
20250208164535,142.68
20250208164536,143.38
20250208164537,146.64
20250208164538,146.27
20250208164539,146.51
20250208164540,146.23
20250208164541,147.44
20250208164542,147.42
20250208164543,149.97
20250208164544,143.97
20250208164545,145.64
20250208164546,146.61
20250208164547,146.34
20250208164548,146.18
20250208164549,146.40
20250208164550,145.88
20250208164551,146.25
20250208164552,146.34
20250208164553,146.32
20250208164554,146.23
20250208164556,146.46
20250208164557,146.27
20250208164558,145.98
20250208164559,146.12
20250208164600,146.22
20250208164601,146.59
20250208164602,146.29
20250208164603,145.96
20250208164604,146.22
20250208164605,146.27
20250208164606,146.27
20250208164607,146.98
20250208164608,146.93
20250208164609,144.65
20250208164610,140.76
20250208164611,146.69
20250208164612,145.88
20250208164613,146.73
20250208164614,132.38
20250208164615,144.41
20250208164616,142.21
20250208164617,141.88
20250208164618,142.46
20250208164619,141.56
