timestamp,accelX,accelY,accelZ
2025-02-17 12:09:57,0.08,-0.26,0.98
2025-02-17 12:09:57,0.08,-0.26,0.97
2025-02-17 12:09:57,0.07,-0.26,0.98
2025-02-17 12:09:57,0.08,-0.26,0.97
2025-02-17 12:09:57,0.07,-0.26,0.98
2025-02-17 12:09:57,0.08,-0.26,0.97
2025-02-17 12:09:58,0.08,-0.26,0.98
2025-02-17 12:09:58,0.08,-0.26,0.97
2025-02-17 12:09:58,0.08,-0.26,0.98
2025-02-17 12:09:58,0.08,-0.26,0.97
2025-02-17 12:09:58,0.07,-0.26,0.97
2025-02-17 12:09:58,0.07,-0.26,0.97
2025-02-17 12:09:58,0.07,-0.26,0.97
2025-02-17 12:09:58,0.07,-0.26,0.97
2025-02-17 12:09:58,0.07,-0.26,0.97
2025-02-17 12:09:58,0.07,-0.26,0.97
2025-02-17 12:09:59,0.07,-0.26,0.97
2025-02-17 12:09:59,0.07,-0.26,0.97
2025-02-17 12:09:59,0.07,-0.26,0.97
2025-02-17 12:09:59,0.08,-0.26,0.97
2025-02-17 12:09:59,0.08,-0.26,0.97
2025-02-17 12:09:59,0.07,-0.26,0.97
2025-02-17 12:09:59,0.07,-0.26,0.97
2025-02-17 12:09:59,0.07,-0.26,0.97
2025-02-17 12:09:59,0.08,-0.26,0.97
2025-02-17 12:09:59,0.08,-0.26,0.97
2025-02-17 12:10:00,0.07,-0.26,0.97
2025-02-17 12:10:00,0.08,-0.26,0.98
2025-02-17 12:10:00,0.07,-0.26,0.97
2025-02-17 12:10:00,0.07,-0.26,0.98
2025-02-17 12:10:00,0.08,-0.26,0.98
2025-02-17 12:10:00,0.07,-0.26,0.97
2025-02-17 12:10:00,0.08,-0.24,0.94
2025-02-17 12:10:00,0.08,-0.27,0.97
2025-02-17 12:10:00,0.08,-0.25,0.98
2025-02-17 12:10:01,0.07,-0.26,0.97
2025-02-17 12:10:01,0.08,-0.25,1.02
2025-02-17 12:10:01,0.08,-0.26,0.98
2025-02-17 12:10:01,0.08,-0.26,0.95
2025-02-17 12:10:01,0.08,-0.26,0.98
2025-02-17 12:10:01,0.07,-0.25,0.99
2025-02-17 12:10:01,0.07,-0.26,1.0
2025-02-17 12:10:01,0.07,-0.25,0.98
2025-02-17 12:10:01,0.07,-0.26,0.96
2025-02-17 12:10:01,0.07,-0.26,0.96
2025-02-17 12:10:02,0.08,-0.27,0.93
2025-02-17 12:10:02,0.09,-0.27,0.93
2025-02-17 12:10:02,0.08,-0.27,0.94
2025-02-17 12:10:02,0.07,-0.25,1.01
2025-02-17 12:10:02,0.08,-0.27,0.96
2025-02-17 12:10:02,0.06,-0.26,1.01
2025-02-17 12:10:02,0.07,-0.25,1.02
2025-02-17 12:10:02,0.09,-0.25,0.95
2025-02-17 12:10:02,0.08,-0.27,0.93
2025-02-17 12:10:02,0.07,-0.27,0.99
2025-02-17 12:10:03,0.04,-0.29,0.98
2025-02-17 12:10:03,0.05,-0.25,0.97
2025-02-17 12:10:03,0.08,-0.25,1.01
2025-02-17 12:10:03,0.09,-0.23,0.97
2025-02-17 12:10:03,0.08,-0.27,0.95
2025-02-17 12:10:03,0.08,-0.27,0.96
2025-02-17 12:10:03,0.07,-0.26,0.98
2025-02-17 12:10:03,0.08,-0.27,0.9
2025-02-17 12:10:03,0.07,-0.25,1.0
2025-02-17 12:10:04,0.08,-0.26,0.98
2025-02-17 12:10:04,0.07,-0.26,1.0
2025-02-17 12:10:04,0.08,-0.26,0.97
2025-02-17 12:10:04,0.07,-0.26,0.97
2025-02-17 12:10:04,0.08,-0.26,0.96
2025-02-17 12:10:04,0.07,-0.26,0.99
2025-02-17 12:10:04,0.08,-0.26,0.97
2025-02-17 12:10:04,0.07,-0.26,0.97
2025-02-17 12:10:04,0.08,-0.28,0.86
2025-02-17 12:10:04,0.07,-0.26,0.95
2025-02-17 12:10:05,0.07,-0.25,1.0
2025-02-17 12:10:05,0.08,-0.26,0.97
2025-02-17 12:10:05,0.07,-0.26,0.96
2025-02-17 12:10:05,0.07,-0.26,0.98
2025-02-17 12:10:05,0.07,-0.26,0.97
2025-02-17 12:10:05,0.07,-0.26,0.97
2025-02-17 12:10:05,0.07,-0.26,0.98
2025-02-17 12:10:05,0.08,-0.25,1.03
2025-02-17 12:10:05,0.07,-0.25,1.0
2025-02-17 12:10:05,0.08,-0.27,0.95
2025-02-17 12:10:06,0.07,-0.26,0.97
2025-02-17 12:10:06,0.07,-0.26,0.98
2025-02-17 12:10:06,0.07,-0.25,0.99
2025-02-17 12:10:06,0.08,-0.27,0.95
2025-02-17 12:10:06,0.07,-0.26,0.97
2025-02-17 12:10:06,0.07,-0.26,0.99
2025-02-17 12:10:06,0.07,-0.26,0.95
2025-02-17 12:10:06,0.07,-0.26,0.96
2025-02-17 12:10:06,0.07,-0.26,0.99
2025-02-17 12:10:07,0.07,-0.26,0.97
2025-02-17 12:10:07,0.08,-0.29,0.92
