timestamp,sensor_name,x,y,z
2025-03-16T03:47:22.638056,LSM6DS3,0.43,0.49,0.24
2025-03-16T03:47:27.587742,LSM6DS3,0.55,0.31,0.37
2025-03-16T03:47:32.601454,LSM6DS3,0.55,0.24,0.37
2025-03-16T03:47:37.674304,LSM6DS3,0.55,0.18,0.43
2025-03-16T03:47:42.655751,LSM6DS3,0.49,0.24,0.31
2025-03-16T03:47:47.668757,LSM6DS3,-145.69,-108.03,81.42
2025-03-16T03:47:52.793410,LSM6DS3,9.03,25.57,2.99
2025-03-16T03:47:57.697068,LSM6DS3,679.14,783.33,-680.05
2025-03-16T03:48:02.710418,LSM6DS3,103.39,-241.39,72.14
2025-03-16T03:48:07.743911,LSM6DS3,253.85,-265.75,-33.63
2025-03-16T03:48:12.761820,LSM6DS3,55.91,228.33,104.25
2025-03-16T03:48:17.713924,LSM6DS3,-390.44,-371.7,-109.74
2025-03-16T03:48:22.797424,LSM6DS3,-107.24,156.56,-102.91
2025-03-16T03:48:28.129348,LSM6DS3,-4.15,-4.39,0.73
2025-03-16T03:48:32.937388,LSM6DS3,-19.04,-99.12,67.26
2025-03-16T03:48:37.831347,LSM6DS3,577.64,934.2,-165.95
2025-03-16T03:48:42.984000,LSM6DS3,172.0,174.8,-194.89
2025-03-16T03:48:48.005914,LSM6DS3,612.85,517.21,-337.83
2025-03-16T03:48:52.917276,LSM6DS3,-173.46,-57.5,237.37
2025-03-16T03:48:57.959972,LSM6DS3,-80.14,-70.56,2.14
2025-03-16T03:49:02.947694,LSM6DS3,3.78,7.2,-4.39
2025-03-16T03:49:07.972201,LSM6DS3,-70.86,-265.56,-73.91
2025-03-16T03:49:12.979771,LSM6DS3,-73.0,187.26,35.89
2025-03-16T03:49:18.002413,LSM6DS3,20.94,132.26,-65.92
2025-03-16T03:49:23.029466,LSM6DS3,0.67,0.24,0.37
2025-03-16T03:49:28.045880,LSM6DS3,0.61,0.12,0.37
2025-03-16T03:49:32.947986,LSM6DS3,0.49,0.24,0.37
2025-03-16T03:49:37.989742,LSM6DS3,0.43,0.24,0.37
2025-03-16T03:49:43.087129,LSM6DS3,0.61,0.18,0.37
2025-03-16T03:49:48.114831,LSM6DS3,0.67,0.12,0.49
2025-03-16T03:49:53.133023,LSM6DS3,0.67,0.0,0.31
2025-03-16T03:49:58.142091,LSM6DS3,0.55,0.24,0.43
2025-03-16T03:50:03.166396,LSM6DS3,0.61,0.18,0.43
2025-03-16T03:50:08.183120,LSM6DS3,0.49,0.18,0.37
2025-03-16T03:50:13.196846,LSM6DS3,0.31,0.61,0.43
2025-03-16T03:50:18.224056,LSM6DS3,-2.69,-8.3,2.2
2025-03-16T03:50:23.240985,LSM6DS3,-57.5,154.3,-50.29
2025-03-16T03:50:28.250606,LSM6DS3,-4.76,-13.18,-12.39
2025-03-16T03:50:33.272681,LSM6DS3,5.13,-26.92,-19.41
2025-03-16T03:50:38.293249,LSM6DS3,4.58,6.35,-4.46
2025-03-16T03:50:43.311635,LSM6DS3,1.71,-8.48,17.21
2025-03-16T03:50:48.314329,LSM6DS3,1.1,2.26,-0.31
2025-03-16T03:50:53.351269,LSM6DS3,7.14,-55.48,-90.27
2025-03-16T03:50:58.239971,LSM6DS3,15.87,49.38,0.37
2025-03-16T03:51:03.263426,LSM6DS3,3.54,-2.2,-0.61
2025-03-16T03:51:08.287326,LSM6DS3,1.04,-0.06,1.71
2025-03-16T03:51:13.299371,LSM6DS3,-2.93,-6.35,-11.29
2025-03-16T03:51:18.279328,LSM6DS3,-3.23,-9.89,-3.23
2025-03-16T03:51:23.312152,LSM6DS3,5.43,0.73,-1.28
2025-03-16T03:51:28.279254,LSM6DS3,-1.4,1.04,1.4
2025-03-16T03:51:33.304674,LSM6DS3,0.49,0.49,0.37
2025-03-16T03:51:38.303164,LSM6DS3,3.54,2.81,1.46
2025-03-16T03:51:43.421126,LSM6DS3,1.04,0.12,1.28
2025-03-16T03:51:48.345844,LSM6DS3,-0.61,0.18,1.53
2025-03-16T03:51:53.349786,LSM6DS3,0.67,-0.18,1.71
2025-03-16T03:51:58.367430,LSM6DS3,0.85,0.67,0.73
2025-03-16T03:52:03.483238,LSM6DS3,-0.06,-1.1,-0.61
2025-03-16T03:52:08.403337,LSM6DS3,0.92,0.85,0.18
2025-03-16T03:52:13.437029,LSM6DS3,-30.33,124.39,76.35
2025-03-16T03:52:18.463017,LSM6DS3,-16.48,-268.25,-112.61
2025-03-16T03:52:23.447752,LSM6DS3,-1.65,-4.15,4.27
2025-03-16T03:52:28.471061,LSM6DS3,0.67,0.79,-0.18
2025-03-16T03:52:33.505210,LSM6DS3,-2.75,1.34,0.0
2025-03-16T03:52:38.463201,LSM6DS3,-2.44,-2.99,1.59
2025-03-16T03:52:43.472313,LSM6DS3,8.0,-55.24,-38.57
2025-03-16T03:52:48.544400,LSM6DS3,83.98,11.29,-2.08
2025-03-16T03:52:53.549641,LSM6DS3,-19.41,-177.0,-88.87
2025-03-16T03:52:58.508438,LSM6DS3,18.37,27.04,-0.61
