sensor_name,timestamp,x,y,z
LSM6DS3,1182712,0.61,0.18,0.37
LSM6DS3,1187718,0.55,0.61,0.49
LSM6DS3,1192725,0.55,0.24,0.43
LSM6DS3,1197731,0.43,0.18,0.43
LSM6DS3,1202738,0.37,-0.37,0.37
LSM6DS3,1207744,0.43,0.12,0.31
LSM6DS3,1212751,0.43,-0.06,0.37
LSM6DS3,1217757,0.73,0.49,0.37
LSM6DS3,1222764,1.59,1.4,0.43
LSM6DS3,1227770,0.73,0.49,0.37
LSM6DS3,1232777,0.37,0.12,0.37
LSM6DS3,1237783,0.49,0.24,0.37
LSM6DS3,1242789,0.37,0.06,0.37
LSM6DS3,1247796,0.43,0.12,0.37
LSM6DS3,1252802,0.49,0.24,0.37
LSM6DS3,1257809,0.85,0.61,0.37
LSM6DS3,1262815,0.49,0.0,0.37
LSM6DS3,1267822,0.49,0.12,0.43
LSM6DS3,1272828,0.31,0.18,0.37
LSM6DS3,1277835,0.61,0.18,0.37
LSM6DS3,1282841,0.61,-0.06,0.31
LSM6DS3,1287848,0.49,0.06,0.37
LSM6DS3,1292854,0.49,0.0,0.43
LSM6DS3,1297861,0.43,0.12,0.43
LSM6DS3,1302867,0.55,-0.18,0.43
LSM6DS3,1307873,0.61,0.06,0.37
LSM6DS3,1312880,0.37,-0.06,0.43
LSM6DS3,1317886,0.12,-0.43,0.37
LSM6DS3,1322893,0.49,0.12,0.37
LSM6DS3,1327899,0.73,0.31,0.37
LSM6DS3,1332906,0.79,0.61,0.37
LSM6DS3,1816752,7.39,17.46,5.68
LSM6DS3,1821759,112.06,1.34,11.54
LSM6DS3,1826766,-1.77,-3.66,1.77
LSM6DS3,1831772,2.01,2.08,0.61
LSM6DS3,1836779,-0.67,58.04,-23.56
LSM6DS3,1841786,1.28,-7.69,-0.06
LSM6DS3,1846793,-5.62,5.92,46.14
LSM6DS3,1851799,2.75,1.59,2.08
LSM6DS3,1856806,0.37,2.5,1.22
LSM6DS3,1861812,1.77,2.38,-0.24
LSM6DS3,1866819,-1.16,-1.89,1.1
LSM6DS3,1871826,-10.07,25.09,-13.79
LSM6DS3,1876832,1.77,19.41,-4.46
LSM6DS3,1881839,0.31,0.24,0.43
LSM6DS3,1886846,2.56,2.99,5.43
LSM6DS3,1891853,-0.43,-0.73,-3.97
LSM6DS3,1896859,0.67,0.31,0.61
LSM6DS3,1901866,0.73,0.18,0.49
LSM6DS3,1906873,0.61,0.24,0.43
