Timestamp,X,Y,Z
2025-03-04 17:15:57,0.55,0.12,0.31
2025-03-04 17:15:58,0.55,0.18,0.31
2025-03-04 17:15:59,0.18,0.0,0.55
2025-03-04 17:15:59,0.43,0.24,0.49
2025-03-04 17:16:00,0.49,0.12,0.49
2025-03-04 17:16:00,0.49,0.12,0.37
2025-03-04 17:16:01,0.61,0.18,0.37
2025-03-04 17:16:01,0.55,0.24,0.49
2025-03-04 17:16:02,0.43,0.31,0.61
2025-03-04 17:16:02,0.55,0.18,0.49
2025-03-04 17:16:02,0.55,0.37,0.49
2025-03-04 17:16:03,0.43,0.43,0.55
2025-03-04 17:16:03,0.55,0.31,0.55
2025-03-04 17:16:04,0.49,0.24,0.49
2025-03-04 17:16:04,0.61,0.24,0.31
2025-03-04 17:16:04,0.67,0.18,0.24
2025-03-04 17:16:05,0.24,0.37,0.61
2025-03-04 17:16:05,0.43,0.18,0.55
2025-03-04 17:16:06,0.61,0.18,0.24
2025-03-04 17:16:06,0.79,0.18,0.18
2025-03-04 17:16:07,0.55,0.18,0.37
2025-03-04 17:16:07,0.12,0.49,0.79
2025-03-04 17:16:07,0.12,0.55,0.85
2025-03-04 17:16:08,0.61,0.12,0.18
2025-03-04 17:16:08,1.46,0.0,-0.24
2025-03-04 17:16:09,0.31,0.18,0.55
2025-03-04 17:16:09,-0.49,0.37,0.98
2025-03-04 17:16:10,1.1,0.0,0.12
2025-03-04 17:16:10,0.85,0.24,0.18
2025-03-04 17:16:11,0.61,0.12,0.43
2025-03-04 17:16:11,0.37,0.06,0.55
2025-03-04 17:16:12,0.12,0.12,0.79
2025-03-04 17:16:13,0.73,0.37,0.24
2025-03-04 17:16:13,0.49,0.24,0.49
2025-03-04 17:16:14,1.22,0.31,-0.18
2025-03-04 17:16:14,0.49,0.18,0.55
2025-03-04 17:16:14,0.24,0.31,0.67
2025-03-04 17:16:15,0.98,0.24,0.06
2025-03-04 17:16:15,0.43,0.43,0.49
2025-03-04 17:16:16,0.31,0.43,0.79
2025-03-04 17:16:16,0.43,0.73,0.79
2025-03-04 17:16:17,0.92,0.49,0.37
2025-03-04 17:16:17,0.37,0.31,0.43
2025-03-04 17:16:18,0.73,0.18,0.24
2025-03-04 17:16:18,0.55,0.18,0.37
2025-03-04 17:16:18,0.43,0.12,0.43
2025-03-04 17:16:19,0.73,0.18,0.24
2025-03-04 17:16:19,0.43,0.0,0.49
2025-03-04 17:16:20,0.31,0.24,0.61
2025-03-04 17:16:20,0.55,0.12,0.43
2025-03-04 17:16:21,1.16,0.18,-0.12
2025-03-04 17:16:21,-0.18,-1.1,-0.31
2025-03-04 17:16:21,0.31,-0.55,0.06
2025-03-04 17:16:22,-0.37,0.31,1.22
2025-03-04 17:16:22,0.67,0.24,0.37
2025-03-04 17:16:23,0.49,0.31,0.55
2025-03-04 17:16:23,0.24,0.55,0.67
2025-03-04 17:16:24,0.61,0.06,0.31
2025-03-04 17:16:24,1.04,0.24,-0.12
2025-03-04 17:16:25,0.43,0.67,0.73
2025-03-04 17:16:25,0.61,0.12,0.37
2025-03-04 17:16:26,0.37,0.37,0.55
2025-03-04 17:16:26,0.98,0.18,-0.06
2025-03-04 17:16:27,0.55,0.31,0.37
2025-03-04 17:16:27,0.49,0.06,0.55
2025-03-04 17:16:27,0.37,0.31,0.49
2025-03-04 17:16:28,0.73,0.0,0.24
2025-03-04 17:16:28,0.06,0.49,0.79
2025-03-04 17:16:29,0.98,-0.06,0.06
2025-03-04 17:16:29,0.37,0.37,0.49
2025-03-04 17:16:30,1.16,0.0,-0.31
2025-03-04 17:16:30,1.1,0.18,-0.06
2025-03-04 17:16:30,-0.12,0.12,0.92
2025-03-04 17:16:31,0.31,0.18,0.73
2025-03-04 17:16:31,0.79,0.06,0.37
2025-03-04 17:16:32,0.61,0.49,0.06
2025-03-04 17:16:32,0.37,0.24,0.67
2025-03-04 17:16:32,-0.24,0.49,1.1
2025-03-04 17:16:33,0.55,0.37,0.37
2025-03-04 17:16:33,0.67,0.31,0.49
2025-03-04 17:16:34,0.79,0.55,0.43
2025-03-04 17:16:34,-0.31,0.43,1.22
2025-03-04 17:16:35,0.49,0.31,0.37
2025-03-04 17:16:35,0.43,0.31,0.43
2025-03-04 17:16:35,0.92,0.06,0.06
2025-03-04 17:16:36,0.12,0.43,0.67
2025-03-04 17:16:36,0.55,0.18,0.37
2025-03-04 17:16:37,0.79,0.06,0.12
2025-03-04 17:16:37,0.18,0.37,0.73
2025-03-04 17:16:38,0.49,0.18,0.37
2025-03-04 17:16:38,0.79,0.06,0.12
2025-03-04 17:16:39,1.22,-0.06,-0.31
2025-03-04 17:16:39,1.22,0.18,-0.12
2025-03-04 17:16:39,-0.12,-0.24,0.79
2025-03-04 17:16:40,-0.06,0.37,0.98
2025-03-04 17:16:40,0.73,-0.12,0.18
2025-03-04 17:16:41,-0.06,0.49,0.73
