Time(ms),X,Y,Z
33382,0.61,0.49,0.37
33484,0.73,-0.12,0.43
33586,0.55,0.12,0.49
33689,0.55,0.18,0.37
33791,0.67,0.31,0.37
33894,0.49,-0.18,0.43
33996,0.67,0.61,0.43
34098,0.49,0.06,0.43
34201,0.37,0.06,0.31
34304,0.55,-0.06,0.37
34406,0.61,0.24,0.43
34509,0.31,0.37,0.31
34611,0.61,0.18,0.43
34713,0.61,0.18,0.37
34816,0.73,0.06,0.49
34918,0.49,1.22,0.37
35021,0.55,0.18,0.43
35123,0.67,-0.18,0.37
35226,0.37,0.37,0.31
35329,0.61,0.31,0.37
35432,0.61,0.31,0.43
35534,0.55,0.00,0.43
35637,0.37,0.12,0.37
35740,0.67,0.06,0.43
35842,0.43,0.12,0.31
35944,0.49,0.55,0.43
36047,0.49,0.18,0.37
36150,0.37,0.55,0.24
36252,0.43,0.31,0.37
36355,0.73,0.37,0.49
36458,1.04,0.12,0.79
36561,1.89,-0.61,1.10
36663,1.77,-0.12,1.40
36766,0.37,-0.37,0.49
36868,1.83,0.67,0.43
36971,1.22,0.18,0.37
37073,0.73,0.12,0.55
37176,0.49,0.49,0.31
37278,0.49,0.37,0.85
37381,1.95,0.37,0.31
37484,0.49,0.31,0.24
37586,1.28,-1.95,0.98
37688,0.85,-0.37,0.24
37791,0.55,0.24,0.37
37893,0.55,0.73,0.61
37996,0.67,0.24,0.31
38099,0.79,0.12,0.43
38201,0.61,0.18,0.43
38305,0.61,0.18,0.31
38407,1.04,0.49,0.61
38510,0.73,0.18,0.55
38612,1.10,0.98,0.85
38715,0.79,0.00,0.24
38817,0.31,0.18,0.37
38920,0.12,0.00,0.18
39023,-0.37,0.24,0.43
39126,-0.85,-0.49,0.37
39229,0.06,-0.06,0.12
39332,-2.75,-5.98,-2.08
39435,-3.36,2.08,-2.56
39538,9.70,-8.36,12.51
39642,-0.61,-0.12,0.12
39745,0.24,0.12,0.18
39847,0.31,0.37,0.24
39950,0.85,-0.67,0.43
40053,0.55,-0.06,0.31
40155,0.92,0.12,0.24
40257,0.00,0.37,0.73
40360,0.67,-0.37,0.43
40463,0.49,0.43,0.31
40565,0.61,0.06,0.37
40668,0.55,0.31,0.37
40771,0.55,0.31,0.37
40874,0.61,-0.37,0.37
40976,0.49,0.18,0.31
41079,0.55,0.43,0.37
41182,-0.31,-1.04,-0.18
41285,0.98,-0.37,0.73
41387,0.43,0.61,0.31
41490,0.67,0.18,0.37
41593,0.49,0.18,0.37
41695,0.55,0.24,0.31
41798,0.55,0.55,0.37
41900,0.43,0.24,0.31
42003,0.61,-0.18,0.43
42105,0.55,0.31,0.37
42208,0.37,-0.12,0.37
42310,0.37,0.37,0.31
42413,0.61,0.06,0.49
42515,0.49,0.00,0.37
42618,0.61,0.31,0.37
42721,0.55,0.55,0.37
42823,0.43,0.31,0.49
42926,0.73,-0.06,0.43
43028,0.43,0.55,0.37
43131,0.43,0.43,0.31
43234,0.61,0.24,0.37
43336,0.43,0.24,0.31
43439,0.55,0.12,0.43
43542,0.49,0.31,0.37
43644,0.37,0.12,0.37
43747,0.61,0.49,0.43
43849,0.61,-0.12,0.43
43952,0.49,-0.24,0.49
44055,0.73,0.37,0.43
44158,0.31,0.61,0.24
44260,0.49,0.24,0.31
44363,0.61,0.55,0.31
44465,0.67,-0.18,0.55
44568,0.49,-0.12,0.43
44671,0.37,0.55,0.24
44773,0.55,0.24,0.24
44876,0.55,0.06,0.43
44979,0.49,0.43,0.43
45081,0.67,0.12,0.49
45184,0.31,0.49,0.24
45288,0.49,0.00,0.43
45390,0.49,0.31,0.37
45493,0.49,0.18,0.37
45596,0.49,-0.06,0.43
45698,0.61,0.49,0.31
45801,0.43,0.24,0.31
45903,0.61,0.06,0.37
46006,0.67,0.06,0.37
46109,0.31,0.49,0.37
46211,0.61,0.31,0.43
46315,0.49,0.61,0.43
46417,0.24,0.73,0.31
46520,0.98,-0.24,0.49
46623,0.43,0.12,0.37
46725,0.43,0.61,0.37
46828,0.55,0.55,0.37
46931,0.55,0.31,0.43
47034,0.61,0.37,0.31
47137,0.31,0.06,0.43
47240,1.28,0.06,0.55
47343,0.67,0.37,0.43
47445,0.61,-0.24,0.43
47548,1.10,0.79,0.61
47651,0.67,-0.12,0.43
47753,0.43,0.61,0.31
47856,0.31,0.31,0.37
47959,0.61,2.14,0.67
