timestamp,gyro_x,gyro_y,gyro_z
116888.0,0.55,0.24,0.37
116991.0,0.61,0.24,0.37
117094.0,0.55,0.24,0.37
117198.0,0.55,0.18,0.37
117301.0,0.55,0.18,0.43
117403.0,0.55,0.18,0.37
117507.0,0.49,0.18,0.37
117611.0,0.49,0.24,0.37
117714.0,0.55,0.24,0.37
117818.0,0.55,0.18,0.37
117921.0,0.55,0.24,0.37
118025.0,0.55,0.24,0.37
118129.0,0.55,0.24,0.37
118232.0,0.55,0.24,0.37
118336.0,0.55,0.18,0.37
118440.0,0.55,0.18,0.37
118543.0,0.55,0.24,0.37
118647.0,0.55,0.18,0.37
118751.0,0.55,0.24,0.37
118854.0,0.61,0.18,0.37
118957.0,0.55,0.24,0.37
119060.0,0.55,0.24,0.43
119164.0,0.55,0.24,0.31
119267.0,0.61,0.24,0.31
119371.0,0.61,0.24,0.37
119474.0,0.55,0.24,0.37
119578.0,0.55,0.24,0.37
119681.0,0.61,0.18,0.31
119785.0,0.55,0.18,0.37
119888.0,0.55,0.24,0.37
119992.0,0.55,0.18,0.37
120095.0,0.55,0.24,0.37
120198.0,0.55,0.18,0.37
120302.0,0.55,0.24,0.37
120405.0,0.55,0.24,0.43
120509.0,0.55,0.18,0.37
120612.0,0.55,0.24,0.37
120716.0,0.55,0.24,0.37
120820.0,0.55,0.18,0.37
120923.0,0.55,0.18,0.37
121026.0,0.61,0.24,0.37
121130.0,0.55,0.18,0.37
121233.0,0.55,0.18,0.37
121336.0,0.55,0.18,0.31
121440.0,0.61,0.24,0.37
121544.0,0.61,0.24,0.31
121647.0,0.61,0.24,0.31
121750.0,0.55,0.18,0.37
121852.0,0.61,0.24,0.37
121955.0,0.55,0.18,0.37
122058.0,0.61,0.24,0.37
122162.0,0.55,0.24,0.31
122265.0,0.55,0.24,0.37
122367.0,0.49,0.18,0.37
122470.0,0.61,0.18,0.37
122572.0,0.55,0.24,0.37
122675.0,0.55,0.18,0.37
122777.0,0.55,0.18,0.37
122880.0,0.61,0.24,0.37
122982.0,0.55,0.24,0.37
123085.0,0.55,0.24,0.37
123187.0,0.61,0.18,0.37
123291.0,0.55,0.24,0.37
123394.0,0.49,0.12,0.37
123497.0,0.55,0.24,0.37
123599.0,0.55,0.18,0.31
123702.0,0.61,0.24,0.37
123805.0,0.55,0.18,0.31
123908.0,0.55,0.18,0.37
124011.0,0.55,0.18,0.43
124114.0,0.61,0.24,0.37
124217.0,0.55,0.18,0.37
124319.0,0.55,0.24,0.37
124422.0,0.55,0.24,0.37
124524.0,0.55,0.24,0.37
124627.0,0.55,0.24,0.37
124729.0,0.55,0.24,0.37
124832.0,0.55,0.24,0.31
124934.0,0.55,0.18,0.37
125037.0,0.55,0.24,0.37
125139.0,0.55,0.18,0.37
125242.0,0.55,0.18,0.37
125346.0,0.55,0.24,0.37
125448.0,0.55,0.24,0.43
125550.0,0.55,0.24,0.37
125653.0,0.55,0.18,0.37
125756.0,0.55,0.24,0.37
125860.0,0.55,0.24,0.37
125962.0,0.61,0.24,0.37
126066.0,0.55,0.18,0.37
126169.0,0.55,0.24,0.37
126272.0,0.55,0.24,0.37
126376.0,0.55,0.18,0.31
126478.0,0.61,0.18,0.37
126580.0,0.55,0.24,0.37
126683.0,0.55,0.24,0.37
126786.0,0.55,0.18,0.43
126890.0,0.55,0.24,0.37
126992.0,0.55,0.24,0.37
127095.0,0.55,0.18,0.31
127198.0,0.55,0.18,0.37
127300.0,0.55,0.24,0.37
127403.0,0.55,0.24,0.37
127506.0,0.55,0.18,0.37
127609.0,0.55,0.18,0.37
127713.0,0.55,0.24,0.37
127816.0,0.55,0.18,0.31
127919.0,0.61,0.18,0.37
128022.0,0.55,0.24,0.37
128125.0,0.55,0.24,0.31
128228.0,0.55,0.18,0.37
128332.0,0.55,0.18,0.37
128434.0,0.55,0.18,0.37
128536.0,0.55,0.18,0.37
128639.0,0.55,0.18,0.37
128743.0,0.61,0.24,0.31
128845.0,0.55,0.18,0.37
128948.0,0.55,0.18,0.43
129051.0,0.55,0.24,0.31
129153.0,0.55,0.18,0.31
129256.0,0.55,0.18,0.37
129359.0,0.55,0.24,0.37
129461.0,0.55,0.18,0.37
129564.0,0.55,0.18,0.37
129667.0,0.55,0.24,0.37
129770.0,0.55,0.24,0.37
129873.0,0.55,0.24,0.37
